numeric1,numeric2,numeric3,numeric4,numeric5,numeric6,numeric7,numeric8,numeric9,numeric10,class
0.87529,0.412441,0.529256,0.633051,0.161035,0.24625,0.851922,0.049134,0.889826,0.027663,-1
0.611949,0.290077,0.081628,0.771469,0.359339,0.603125,0.367112,0.631842,0.884465,0.657482,-1
0.643277,0.067801,0.60272,0.552196,0.530531,0.912981,0.943693,0.934496,0.173391,0.165558,-1
0.922308,0.996062,0.7365,0.819015,0.581983,0.447722,0.413509,0.465612,0.668876,0.312331,-1
0.88842,0.721769,0.721435,0.521094,0.967329,0.748228,0.740945,0.850344,0.53305,0.267735,-1
0.746436,0.693804,0.065947,0.519111,0.811278,0.529625,0.721356,0.528968,0.628985,0.711968,-1
0.357314,0.930963,0.262171,0.393711,0.96585,0.317363,0.491337,0.96981,0.676968,0.768814,-1
0.099076,0.420145,0.876458,0.775617,0.500493,0.326165,0.00705,0.237418,0.362094,0.137419,-1
0.306951,0.608128,0.239067,0.472055,0.080653,0.538994,0.804852,0.849638,0.093962,0.565148,-1
0.947068,0.275139,0.338515,0.479592,0.860321,0.5197,0.720625,0.043435,0.279124,0.776811,-1
0.195114,0.592368,0.163075,0.611757,0.486869,0.916713,0.471673,0.767731,0.821168,0.516041,-1
0.147554,0.443755,0.018396,0.959208,0.064669,0.11756,0.899597,0.616826,0.491836,0.850822,-1
0.196371,0.47554,0.572311,0.284694,0.061952,0.092116,0.426465,0.210285,0.839862,0.000263,1
0.747347,0.681773,0.962371,0.044189,0.177861,0.129111,0.723056,0.180322,0.333478,0.822739,1
0.196066,0.262238,0.065847,0.344539,0.759286,0.203715,0.450383,0.427233,0.519395,0.700989,-1
0.024813,0.638686,0.433898,0.38764,0.005913,0.908114,0.078529,0.894197,0.568063,0.817914,-1
0.817983,0.78941,0.779971,0.917871,0.603767,0.791296,0.464866,0.05774,0.745025,0.953412,-1
0.074619,0.879717,0.776514,0.755489,0.649751,0.164062,0.982472,0.157395,0.074936,0.679149,-1
0.225957,0.711561,0.133566,0.551488,0.480275,0.771374,0.315165,0.941741,0.862476,0.681682,-1
0.935838,0.98955,0.028426,0.592415,0.894678,0.57297,0.504816,0.197502,0.307974,0.41758,-1
0.905521,0.268599,0.338278,0.485843,0.00805,0.326808,0.766812,0.379037,0.350387,0.175441,-1
0.245401,0.692112,0.349371,0.303015,0.708083,0.876051,0.938791,0.358038,0.122705,0.182854,-1
0.378737,0.995798,0.619286,0.694989,0.197279,0.402235,0.044621,0.274203,0.191401,0.711115,-1
0.161528,0.503797,0.036159,0.348096,0.036364,0.344013,0.329367,0.058935,0.639848,0.271923,-1
0.833682,0.008939,0.323954,0.135224,0.268788,0.876915,0.631565,0.813586,0.253422,0.309244,-1
0.845774,0.051735,0.900348,0.448348,0.792178,0.505182,0.126911,0.504696,0.670188,0.122538,-1
0.959658,0.502627,0.108341,0.477601,0.983557,0.397653,0.213767,0.559913,0.614692,0.736533,-1
0.117461,0.834243,0.059856,0.911311,0.404634,0.087459,0.667299,0.844607,0.863436,0.69551,1
0.86996,0.635867,0.185479,0.463744,0.075823,0.296906,0.608071,0.120555,0.66961,0.209932,-1
0.000758,0.877347,0.755858,0.352414,0.567698,0.207071,0.395468,0.650505,0.162622,0.139092,-1
0.86617,0.046386,0.194542,0.919905,0.911888,0.994767,0.240097,0.847232,0.036824,0.139919,-1
0.772348,0.449267,0.647154,0.866991,0.866045,0.951383,0.246536,0.270013,0.345817,0.149326,-1
0.951209,0.833835,0.606454,0.390977,0.306289,0.788428,0.253371,0.357973,0.756916,0.661319,-1
0.786563,0.734027,0.156249,0.027591,0.78278,0.648522,0.376875,0.836744,0.418375,0.991966,-1
0.432992,0.981853,0.71919,0.31415,0.517835,0.968851,0.624079,0.036372,0.014101,0.64237,-1
0.80507,0.135833,0.844722,0.929499,0.199908,0.293324,0.497141,0.473896,0.38162,0.73458,-1
0.676324,0.850137,0.21498,0.641196,0.820058,0.771754,0.73117,0.058732,0.644658,0.336351,-1
0.789638,0.687668,0.480023,0.887283,0.890098,0.807119,0.400053,0.51378,0.447821,0.851718,-1
0.05776,0.560038,0.951791,0.838847,0.693978,0.768664,0.688013,0.926396,0.004387,0.845013,-1
0.129204,0.870495,0.421653,0.29632,0.667281,0.048151,0.897796,0.373185,0.09652,0.011519,1
0.456462,0.820821,0.142944,0.248495,0.625613,0.933648,0.379457,0.938623,0.358209,0.099156,-1
0.066409,0.013782,0.201763,0.615626,0.813761,0.759893,0.287253,0.073162,0.473687,0.528891,-1
0.173665,0.998635,0.341391,0.869467,0.706528,0.782497,0.567145,0.530583,0.827108,0.129094,-1
0.663956,0.343533,0.70352,0.401949,0.133005,0.946326,0.645816,0.271649,0.522916,0.678419,-1
0.014189,0.016345,0.689129,0.744354,0.732749,0.673493,0.626084,0.921576,0.080899,0.996364,-1
0.007622,0.670763,0.150164,0.82998,0.489961,0.496217,0.726376,0.088509,0.906783,0.799396,-1
0.385474,0.989789,0.717439,0.270411,0.275715,0.582541,0.456939,0.070331,0.399924,0.887943,-1
0.480391,0.671393,0.208492,0.169648,0.994681,0.24272,0.967131,0.944943,0.226697,0.895895,-1
0.672985,0.354624,0.590051,0.937792,0.258504,0.420319,0.881217,0.517253,0.444555,0.535351,-1
0.861196,0.697777,0.882588,0.258865,0.06026,0.040095,0.160207,0.112859,0.28103,0.236544,1
0.835356,0.617838,0.069074,0.203381,0.91137,0.245243,0.37043,0.307732,0.068481,0.313413,-1
0.701879,0.082567,0.526922,0.108722,0.4225,0.866156,0.632619,0.674674,0.113992,0.291691,-1
0.128491,0.779123,0.652429,0.448263,0.602741,0.543405,0.285561,0.836157,0.790067,0.097066,-1
0.917486,0.947431,0.242534,0.407991,0.846441,0.416988,0.383955,0.130135,0.401668,0.209884,-1
0.114907,0.909679,0.281756,0.237345,0.945099,0.095314,0.909548,0.127002,0.095642,0.209508,1
0.787658,0.61208,0.135807,0.85497,0.663833,0.149816,0.497208,0.954172,0.29683,0.931113,-1
0.642911,0.34967,0.751195,0.401461,0.75977,0.829101,0.44326,0.777409,0.589395,0.581099,-1
0.61087,0.813373,0.416441,0.937042,0.485811,0.250341,0.292517,0.008374,0.210583,0.961014,-1
0.289786,0.490429,0.460131,0.795217,0.950457,0.471033,0.804322,0.524891,0.126623,0.555807,-1
0.07842,0.089747,0.089531,0.001973,0.416487,0.552675,0.128149,0.838603,0.146598,0.788248,-1
0.853984,0.143624,0.446951,0.948179,0.082421,0.746528,0.51839,0.174344,0.470418,0.63064,-1
0.041563,0.862984,0.056227,0.219877,0.855881,0.02297,0.468862,0.552387,0.122629,0.916507,1
0.85337,0.06702,0.716051,0.222435,0.49253,0.35851,0.223887,0.420261,0.696409,0.793369,-1
0.73283,0.957341,0.778299,0.32086,0.524526,0.032126,0.83887,0.162085,0.914212,0.50314,1
0.639923,0.315059,0.726772,0.516385,0.064986,0.974824,0.32394,0.933097,0.536036,0.034993,-1
0.671565,0.535315,0.283961,0.810791,0.667316,0.288455,0.554954,0.003502,0.836875,0.648116,-1
0.675825,0.712395,0.550647,0.012575,0.398329,0.992565,0.113168,0.942961,0.095884,0.055772,-1
0.433875,0.699835,0.195661,0.716235,0.500576,0.977936,0.694814,0.094468,0.545908,0.460068,-1
0.731725,0.909639,0.622278,0.956671,0.96142,0.914561,0.282194,0.449318,0.918923,0.157296,-1
0.198644,0.314426,0.645095,0.789504,0.854061,0.367707,0.596608,0.084045,0.876663,0.140417,-1
0.265011,0.17296,0.209366,0.975174,0.989402,0.771869,0.059183,0.112177,0.163073,0.817928,-1
0.493964,0.925883,0.406537,0.515889,0.628506,0.867707,0.307665,0.76043,0.573555,0.472084,-1
0.014265,0.282811,0.708858,0.991228,0.305216,0.156037,0.385417,0.838187,0.763352,0.485105,-1
0.86227,0.03829,0.326636,0.207526,0.139564,0.315858,0.803691,0.93421,0.362402,0.276038,-1
0.905621,0.671942,0.638869,0.380895,0.968076,0.086025,0.440844,0.064397,0.815892,0.68535,1
0.237669,0.382678,0.157152,0.941984,0.650409,0.053986,0.484374,0.893549,0.208397,0.606974,1
0.707586,0.218992,0.739977,0.626504,0.647361,0.127046,0.535754,0.762871,0.075482,0.651497,-1
0.685398,0.253407,0.20669,0.108557,0.407978,0.194628,0.417074,0.538994,0.77099,0.698633,-1
0.492959,0.93132,0.924712,0.369219,0.898726,0.902218,0.866174,0.241158,0.392823,0.296504,-1
0.79103,0.440362,0.818281,0.861338,0.291763,0.343182,0.047394,0.747994,0.017132,0.939795,-1
0.869768,0.099405,0.920451,0.439706,0.078775,0.392829,0.893246,0.896597,0.133523,0.524351,1
0.406014,0.775289,0.551765,0.845586,0.759274,0.935334,0.623739,0.492822,0.685775,0.463767,-1
0.127768,0.384974,0.3387,0.153796,0.475485,0.20911,0.150851,0.19672,0.117924,0.560933,-1
0.656311,0.831132,0.103215,0.162489,0.128714,0.276455,0.392512,0.740516,0.809238,0.267134,-1
0.91281,0.716209,0.572608,0.899298,0.353636,0.33083,0.110868,0.303479,0.399181,0.211459,-1
0.102337,0.864974,0.428247,0.667328,0.377152,0.327694,0.711457,0.199552,0.790967,0.137854,-1
0.788509,0.805715,0.374831,0.810623,0.017795,0.665632,0.341971,0.935844,0.256564,0.705774,-1
0.701132,0.678198,0.251849,0.35718,0.551348,0.272717,0.600708,0.545371,0.61444,0.068263,-1
0.072915,0.580594,0.199242,0.129645,0.680017,0.152932,0.585501,0.273266,0.121797,0.079131,-1
0.765599,0.68173,0.144456,0.796672,0.588667,0.919573,0.90442,0.855491,0.614393,0.255306,-1
0.647502,0.818853,0.402731,0.684205,0.885211,0.052323,0.540949,0.941799,0.778307,0.853354,1
0.440871,0.099763,0.622307,0.253934,0.82689,0.04392,0.170434,0.614844,0.879241,0.248336,1
0.026584,0.822482,0.197255,0.779976,0.494207,0.497816,0.103736,0.395164,0.076571,0.131936,-1
0.3243,0.922086,0.289689,0.473791,0.744472,0.862844,0.571263,0.813086,0.772525,0.294067,-1
0.847334,0.024953,0.81749,0.696849,0.752864,0.372877,0.529458,0.304789,0.593338,0.102506,-1
0.74325,0.923163,0.881502,0.801354,0.516721,0.942774,0.686718,0.348028,0.261405,0.448782,-1
0.093937,0.029503,0.725913,0.907809,0.785159,0.06611,0.511427,0.905896,0.128294,0.351256,1
0.873846,0.805376,0.186647,0.68656,0.798579,0.990502,0.746863,0.172956,0.721654,0.579658,-1
0.803932,0.704444,0.8148,0.096258,0.93898,0.703557,0.452315,0.610925,0.678846,0.336259,-1
0.333999,0.294333,0.236041,0.448835,0.751117,0.153054,0.993508,0.380512,0.651318,0.960058,-1
0.720652,0.622899,0.483597,0.036991,0.785445,0.020982,0.285882,0.597133,0.561982,0.840285,-1
0.115478,0.81592,0.823669,0.560958,0.716564,0.660206,0.15932,0.701903,0.26915,0.777924,-1
0.352727,0.326723,0.170306,0.426566,0.225877,0.138127,0.061217,0.501921,0.661767,0.228571,-1
0.732522,0.21776,0.394875,0.622311,0.115632,0.882656,0.68565,0.717638,0.299112,0.521908,-1
0.17994,0.618004,0.396977,0.800526,0.095134,0.126823,0.139625,0.81749,0.371829,0.873154,-1
0.25839,0.862029,0.583162,0.634093,0.091093,0.14939,0.203542,0.424574,0.348693,0.886604,-1
0.304292,0.336435,0.652079,0.757988,0.865827,0.425958,0.273237,0.065659,0.674288,0.172753,-1
0.496461,0.312063,0.205121,0.162724,0.153006,0.969554,0.986924,0.68398,0.17648,0.546303,-1
0.685957,0.866969,0.476505,0.828329,0.555001,0.848695,0.034602,0.354199,0.949869,0.195816,-1
0.888962,0.761959,0.332644,0.482514,0.593699,0.637103,0.552825,0.486425,0.813383,0.88591,-1
0.225876,0.939554,0.945104,0.460227,0.713213,0.150971,0.047985,0.467781,0.548533,0.104234,-1
0.904055,0.316377,0.152425,0.824845,0.734534,0.560819,0.330522,0.911704,0.952068,0.548189,-1
0.36006,0.131379,0.342135,0.790077,0.435471,0.885178,0.23577,0.22966,0.865777,0.17636,-1
0.560989,0.217005,0.6948,0.428464,0.141709,0.057742,0.349839,0.135636,0.250653,0.458254,1
0.515237,0.861946,0.216703,0.054797,0.67436,0.549067,0.837337,0.484466,0.666816,0.44034,-1
0.453223,0.132678,0.167315,0.184125,0.804773,0.774851,0.208395,0.840457,0.209367,0.81923,-1
0.741313,0.582419,0.173175,0.7533,0.757702,0.857297,0.282948,0.697984,0.679188,0.652415,-1
0.110831,0.681855,0.56297,0.296733,0.909222,0.361825,0.168428,0.921648,0.072859,0.437282,-1
0.083171,0.303063,0.701801,0.931428,0.916472,0.311698,0.111645,0.846548,0.033889,0.609726,-1
0.80626,0.439222,0.428917,0.549212,0.253521,0.50698,0.10586,0.451458,0.785997,0.629681,-1
0.782653,0.576257,0.086179,0.266881,0.813215,0.126159,0.009856,0.97672,0.975965,0.57328,-1
0.951382,0.792393,0.178451,0.444767,0.56105,0.968966,0.187634,0.457963,0.387489,0.896382,-1
0.211162,0.557412,0.936919,0.963698,0.527061,0.973247,0.716328,0.555129,0.387572,0.894131,-1
0.059052,0.160237,0.107456,0.727808,0.918949,0.788602,0.587883,0.208432,0.363304,0.493556,-1
0.524112,0.802275,0.194787,0.830108,0.198483,0.961978,0.989239,0.4989,0.069803,0.784459,-1
0.848763,0.261079,0.336046,0.53868,0.338525,0.448199,0.269337,0.346877,0.400871,0.0368,-1
0.400539,0.026481,0.521831,0.309049,0.565288,0.729858,0.06275,0.578843,0.414192,0.555102,-1
0.463731,0.327044,0.236946,0.743514,0.975809,0.359993,0.853438,0.428047,0.685163,0.282246,-1
0.884516,0.151839,0.855413,0.657451,0.930871,0.537135,0.032977,0.720562,0.060592,0.552244,-1
0.93566,0.400089,0.534247,0.797843,0.876086,0.710827,0.880937,0.113786,0.359298,0.285547,-1
0.279558,0.593749,0.53777,0.928352,0.696614,0.787387,0.407298,0.592939,0.385213,0.468345,-1
0.983656,0.115741,0.159473,0.851318,0.21262,0.366964,0.324356,0.552511,0.034898,0.221742,-1
0.263056,0.905227,0.852697,0.8992,0.462351,0.465924,0.626106,0.768919,0.190925,0.676004,-1
0.965181,0.682347,0.136472,0.680687,0.877537,0.250926,0.054465,0.248744,0.281474,0.263231,-1
0.884816,0.585461,0.001093,0.610171,0.852172,0.586115,0.722566,0.670313,0.781484,0.738373,-1
0.309646,0.096631,0.232479,0.449382,0.951734,0.341517,0.085055,0.046993,0.849231,0.058625,-1
0.892137,0.084402,0.528614,0.728138,0.657382,0.863655,0.423633,0.46631,0.692185,0.285838,-1
0.059184,0.000621,0.859745,0.234394,0.030902,0.218683,0.823544,0.702904,0.986186,0.531984,-1
0.883392,0.789806,0.981317,0.534877,0.604265,0.499893,0.914531,0.084677,0.7215,0.01608,-1
0.216353,0.980522,0.740455,0.734795,0.616195,0.876646,0.239581,0.89451,0.598155,0.929964,-1
0.132925,0.069268,0.109163,0.952398,0.051375,0.147752,0.189069,0.515113,0.561582,0.673254,-1
0.454932,0.534835,0.157248,0.581116,0.79076,0.36171,0.829599,0.437514,0.169112,0.283637,-1
0.552141,0.257167,0.26243,0.663783,0.199391,0.85737,0.389664,0.635996,0.260087,0.491927,-1
0.3877,0.397088,0.202439,0.200929,0.197292,0.655456,0.50234,0.910943,0.309649,0.722301,-1
0.154977,0.825077,0.732523,0.064655,0.956139,0.05352,0.803576,0.878755,0.961585,0.752515,-1
0.004026,0.387747,0.311133,0.263389,0.906991,0.119496,0.038723,0.873125,0.532663,0.378289,-1
0.580523,0.854093,0.676379,0.48844,0.440215,0.382953,0.22585,0.158367,0.873914,0.787374,-1
0.090271,0.490413,0.516747,0.324073,0.126711,0.744743,0.588947,0.352847,0.368135,0.954858,-1
0.691378,0.338627,0.932601,0.887817,0.228715,0.587224,0.224641,0.643987,0.18312,0.000321,1
0.427491,0.399164,0.302004,0.421399,0.828821,0.406158,0.760606,0.336657,0.22278,0.393447,-1
0.013393,0.793646,0.487646,0.925263,0.857874,0.405173,0.451033,0.120475,0.700241,0.217226,-1
0.323575,0.366903,0.634313,0.036988,0.307205,0.313191,0.22359,0.540691,0.465575,0.472137,-1
0.810784,0.110924,0.581862,0.227375,0.770019,0.88914,0.523177,0.899579,0.363965,0.971488,-1
0.58094,0.798835,0.771482,0.024744,0.363078,0.866631,0.410936,0.853989,0.07657,0.593874,-1
0.90015,0.614791,0.457817,0.390634,0.866043,0.43009,0.183504,0.478815,0.345307,0.145546,-1
0.32608,0.680704,0.702075,0.837051,0.305665,0.184357,0.829313,0.470208,0.834138,0.481057,-1
0.897777,0.803965,0.547366,0.190552,0.069674,0.229242,0.377966,0.416585,0.403736,0.738254,-1
0.233707,0.608181,0.644254,0.631366,0.215569,0.641474,0.708669,0.885719,0.434716,0.982308,-1
0.46665,0.333474,0.469048,0.341645,0.83815,0.927414,0.63772,0.193799,0.328768,0.407786,-1
0.565933,0.891789,0.867792,0.62663,0.962524,0.884581,0.217635,0.634489,0.139319,0.717798,-1
0.28294,0.389272,0.563889,0.082424,0.363461,0.608167,0.656335,0.165347,0.766874,0.850907,-1
0.115872,0.951031,0.226012,0.39629,0.294479,0.925432,0.249591,0.853769,0.522536,0.841213,-1
0.876291,0.738047,0.83534,0.817631,0.299159,0.42699,0.249575,0.068932,0.480584,0.02181,-1
0.595256,0.981873,0.187706,0.63336,0.921379,0.095991,0.843894,0.529496,0.662422,0.779495,1
0.214054,0.395872,0.078075,0.03916,0.219786,0.686126,0.959992,0.954377,0.11504,0.667355,-1
0.237069,0.683504,0.843691,0.302845,0.904698,0.85492,0.647554,0.556461,0.653626,0.425713,-1
0.896682,0.051698,0.680522,0.767661,0.673319,0.273294,0.425015,0.823199,0.856771,0.660436,-1
0.396948,0.663305,0.328452,0.007965,0.832753,0.674755,0.444742,0.565636,0.65133,0.905951,-1
0.109834,0.105348,0.06748,0.808542,0.621564,0.012414,0.264907,0.726293,0.960321,0.149317,1
0.730993,0.003201,0.344405,0.839012,0.211988,0.50958,0.684823,0.819757,0.75997,0.717862,-1
0.038288,0.434544,0.01185,0.199121,0.279291,0.635618,0.665921,0.556828,0.990413,0.608184,-1
0.102872,0.3661,0.004632,0.947297,0.235893,0.644729,0.124179,0.358061,0.968444,0.746508,-1
0.287596,0.791631,0.088455,0.337914,0.859937,0.77817,0.034166,0.295938,0.780654,0.47278,-1
0.729508,0.947864,0.019505,0.591551,0.605893,0.063069,0.162907,0.982285,0.002439,0.402417,1
0.981477,0.048041,0.368138,0.432573,0.514054,0.621578,0.077152,0.020575,0.544356,0.174863,-1
0.212363,0.538265,0.343447,0.440225,0.372514,0.826678,0.204546,0.618347,0.414709,0.897252,-1
0.606272,0.353189,0.056744,0.079731,0.806224,0.565053,0.432677,0.565879,0.288882,0.050388,-1
0.020266,0.943656,0.770138,0.480582,0.840295,0.368235,0.39531,0.06183,0.465579,0.474262,-1
0.358351,0.654359,0.171309,0.998026,0.417002,0.591611,0.508653,0.348699,0.681969,0.788668,-1
0.689928,0.044568,0.617795,0.984054,0.436397,0.013196,0.408875,0.120208,0.358644,0.243699,1
0.716174,0.935268,0.514721,0.174842,0.378511,0.812481,0.522669,0.504392,0.796833,0.813411,-1
0.491733,0.813218,0.580739,0.607251,0.080524,0.511835,0.533584,0.70094,0.190592,0.137635,-1
0.205796,0.973402,0.160292,0.957781,0.055632,0.022128,0.836553,0.165773,0.722398,0.241434,1
0.571084,0.698924,0.039254,0.869121,0.01274,0.849508,0.191007,0.461904,0.549251,0.394109,-1
0.856915,0.389833,0.389167,0.923687,0.269296,0.976094,0.568853,0.421139,0.865844,0.850945,-1
0.619547,0.903661,0.616851,0.937164,0.235938,0.123956,0.168113,0.239297,0.050422,0.907329,-1
0.656128,0.270097,0.53615,0.691007,0.424236,0.514952,0.137135,0.227492,0.89671,0.808709,-1
0.955204,0.215533,0.552336,0.879215,0.711185,0.830298,0.279883,0.597994,0.241753,0.738604,-1
0.394894,0.670885,0.493489,0.205547,0.250575,0.6001,0.832181,0.32565,0.685126,0.754021,-1
0.498093,0.244648,0.513671,0.292216,0.206856,0.477286,0.895011,0.510514,0.220849,0.07201,-1
0.681762,0.894635,0.697371,0.425209,0.796998,0.800725,0.7576,0.005637,0.271327,0.217301,-1
0.514301,0.113944,0.821436,0.505494,0.246398,0.072721,0.754409,0.363093,0.015021,0.919229,1
0.541748,0.512786,0.278293,0.756009,0.622797,0.776149,0.481094,0.403802,0.869379,0.262257,-1
0.171216,0.896723,0.671751,0.373502,0.924783,0.661403,0.790559,0.211023,0.251494,0.929815,-1
0.960306,0.748308,0.694202,0.049734,0.726901,0.833925,0.537526,0.877344,0.155179,0.682949,-1
0.896648,0.363189,0.851875,0.021543,0.470146,0.77575,0.215312,0.460295,0.909635,0.746121,-1
0.945183,0.989271,0.584218,0.462808,0.624085,0.711406,0.499169,0.897425,0.617065,0.060713,-1
0.265974,0.90004,0.62623,0.787944,0.314798,0.367232,0.984577,0.938694,0.990651,0.456378,-1
0.176476,0.8976,0.780955,0.99648,0.13186,0.327156,0.684931,0.828842,0.55695,0.490788,-1
0.65414,0.800148,0.93644,0.017235,0.108742,0.52603,0.870382,0.636911,0.76546,0.844942,1
0.093582,0.800782,0.400928,0.090189,0.866125,0.378469,0.718071,0.922202,0.420744,0.824625,-1
0.183334,0.483658,0.806038,0.301295,0.55904,0.066822,0.774142,0.248847,0.867838,0.315458,1
0.32725,0.809187,0.695168,0.222958,0.159475,0.322357,0.060842,0.833811,0.508849,0.841248,-1
0.5723,0.607306,0.868831,0.239047,0.209787,0.860374,0.599515,0.02017,0.887657,0.570729,-1
0.725806,0.387798,0.886183,0.091961,0.113137,0.469794,0.354717,0.009026,0.77088,0.85964,-1
0.349725,0.445543,0.249442,0.790181,0.290182,0.623607,0.969056,0.325324,0.287991,0.372301,-1
0.846667,0.928508,0.542551,0.582869,0.771817,0.646602,0.876279,0.316516,0.323304,0.934056,-1
0.53185,0.385045,0.615426,0.834493,0.552104,0.745076,0.315957,0.835568,0.420026,0.973316,-1
0.687587,0.21781,0.148882,0.423385,0.970327,0.129274,0.681559,0.403956,0.544521,0.935244,-1
0.283342,0.863446,0.092371,0.61584,0.593804,0.618307,0.410467,0.114263,0.14119,0.119913,-1
0.616663,0.574553,0.41661,0.119348,0.241653,0.350133,0.05556,0.359877,0.098982,0.512992,-1
0.280734,0.603648,0.886759,0.348325,0.522779,0.882186,0.190162,0.980487,0.054595,0.849491,-1
0.925917,0.843593,0.549985,0.512063,0.298235,0.183643,0.708884,0.411937,0.020259,0.15901,-1
0.479119,0.546811,0.895907,0.392202,0.948573,0.925617,0.854062,0.018233,0.681833,0.678388,-1
0.180374,0.373539,0.131851,0.066032,0.001513,0.47429,0.769834,0.568631,0.042542,0.344054,-1
0.745517,0.470145,0.300129,0.068161,0.215206,0.002906,0.552657,0.175763,0.95636,0.167041,1
0.562854,0.580437,0.525238,0.797977,0.41938,0.84635,0.008057,0.319441,0.710882,0.989344,-1
0.366277,0.889861,0.129357,0.370976,0.483132,0.32685,0.659217,0.498398,0.281162,0.277457,-1
0.724285,0.70411,0.699487,0.591114,0.537014,0.746995,0.894744,0.747737,0.422536,0.349687,-1
0.761049,0.495181,0.074734,0.567196,0.752048,0.558264,0.542343,0.667848,0.032069,0.395832,-1
0.240133,0.899997,0.183579,0.502838,0.433603,0.11656,0.054586,0.681177,0.455121,0.734369,-1
0.842339,0.036028,0.37531,0.916395,0.178609,0.193682,0.975534,0.182347,0.807048,0.382398,-1
0.645658,0.876743,0.424531,0.569525,0.265829,0.053438,0.396138,0.806187,0.221846,0.371746,1
0.347316,0.29505,0.450751,0.541649,0.087016,0.467227,0.81661,0.704236,0.921987,0.531104,-1
0.175994,0.888401,0.185157,0.5389,0.208523,0.345944,0.719943,0.006039,0.459888,0.134617,-1
0.137535,0.513882,0.073082,0.792287,0.895649,0.528165,0.368153,0.325265,0.634942,0.873487,-1
0.771621,0.019988,0.75321,0.918419,0.593732,0.77963,0.89771,0.546372,0.80509,0.785824,-1
0.912375,0.414052,0.273754,0.290609,0.789382,0.832395,0.889701,0.254783,0.343506,0.844101,-1
0.625647,0.3663,0.65285,0.717399,0.861515,0.695907,0.791022,0.127436,0.234436,0.87717,-1
